,DEKF,UKF,EKF,AEKF,WLS
East,0.11192786771732338,0.19800206755860308,0.1574887043268316,0.13798479397227,0.12010840713817302
North,0.12458930760955285,0.1446252693684328,0.1389943216951274,0.21174180015971303,0.12507568435257543
Up,0.31578632305810367,0.31864912200057516,0.36448185821917073,0.3031799712785535,0.3390318761674396
std_East,0.07126191034648903,0.12079933162912601,0.12299978357732358,0.09141593619604814,0.10816447352318681
std_North,0.07199094624606756,0.11017232374676107,0.09849565595107171,0.1443612170045431,0.08886037890913462
std_Up,0.2412732625026606,0.21904184381702588,0.24805974280636617,0.2155236337584249,0.2583587690018187
