,DEKF,UKF,EKF,AEKF,WLS
East,0.1594383580896206,0.23647475061338652,0.1926869594060232,0.1514715191725763,0.17081341050112492
North,0.1750075449567581,0.1841345928187581,0.17498119842152227,0.2725014924201805,0.1765402315559219
Up,0.4466759485102091,0.44761038699886524,0.5154551857013685,0.4258946396778382,0.48285001091191954
std_East,0.10136316930374699,0.14979960190990943,0.15264322667161048,0.11398590566609954,0.15289542905147044
std_North,0.10139157314353778,0.14351287922102635,0.12366109289298102,0.1912956047226507,0.12488606486530952
std_Up,0.3410273078704754,0.31163058841162017,0.35151740773278267,0.3063848643458811,0.36481815392741634
