x,y,z,x_dot,y_dot,z_dot,x_dot_dot,y_dot_dot,z_dot_dot
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
228911.029,-5336916.871,3473463.964,0.0,0.0,0.0,0.0,0.0,0.0
