,DEKF,UKF,EKF,AEKF,WLS
East,2.4928341985301365,2.4504292057591823,2.466771532404258,2.1377795897325362,3.5068103695200823
North,2.3207230225142896,1.9446727636681758,1.894863546861335,1.3904897131633278,3.3406996452075357
Up,4.6139439720953215,5.310211820588853,5.373407000395174,4.921182008851968,8.078720836204694
East Std,1.8535122142000404,1.7172867929470799,1.7542926068792963,1.3852577130322112,2.5873376234544025
North Std,1.7283829441572656,1.4841094553735001,1.4541440994417731,1.0710789721210559,2.5081819840969084
Up Std,3.446746294415143,3.6002143704556784,3.8106818165896605,3.2044494212186874,6.253576588676095
