,DEKF,UKF,EKF,AEKF,WLS
East,2.9801151906808485,3.2193287900330794,3.31654682873113,3.950316596092496,3.6795343934479834
North,3.4584259711373915,4.349628472435004,4.270316006485981,5.5960154469348735,4.64369634868085
Up,7.409425540253895,5.4830992338779945,5.418816307373424,5.158272054599723,9.548263282842095
East Std,2.336752436894094,3.3438715237110506,3.337915285642077,3.397332245207513,3.0207837759890146
North Std,2.7701752925939296,4.08580068542252,4.291400731001636,4.632612869049789,3.6945618561070876
Up Std,6.222469859029655,4.418518867330859,4.291392366990446,4.832207558194116,8.115537353023896
