,DEKF,UKF,EKF,AEKF,WLS
East,0.11543526575173386,0.17521836474547578,0.18234882243551698,0.1577831849953233,0.09720256603722181
North,0.13664442655822717,0.15944314291291464,0.1276940180897123,0.17252570503815406,0.1243315476351713
Up,0.2967664574736803,0.3082623994334637,0.28261239697287915,0.29905082002248756,0.2707649331966177
std_East,0.08968573196341113,0.10790314516163713,0.09690296431994061,0.11206311298865275,0.08078331543776364
std_North,0.1060730534892226,0.10253845036057628,0.08845552808039739,0.13037961908476783,0.09427027317437636
std_Up,0.23888871288937016,0.2304790389305503,0.25521839980411065,0.2203200894016204,0.20460910840141192
