,DEKF,UKF,EKF,AEKF,WLS
East,0.12077732784395613,0.15179747619182613,0.1652058919220556,0.17291286679607115,0.16859138442055865
North,0.16108571029287583,0.18186163949546022,0.15382841679631037,0.16757764714580947,0.1789615171275491
Up,0.4243355988623716,0.5207710498202163,0.38116869584857094,0.41590219470794365,0.4750374888711123
std_East,0.11090733534532946,0.11086977322669186,0.11816375474150762,0.13928240044477797,0.12107682185523587
std_North,0.13288861483447426,0.13347985571363932,0.12744855111015585,0.09901115743755436,0.14857248299911438
std_Up,0.36047389115193534,0.3767168403502341,0.2236417135278882,0.3104091257962015,0.4062840819029809
