,DEKF,UKF,EKF,AEKF,WLS
East,0.206109601708892,0.27561471019250994,0.2719727089976405,0.23818550769837724,0.20472128604882694
North,0.2544056401730395,0.28338036831791735,0.2993229334557022,0.3382825111025337,0.257690107605609
Up,0.6130893051654073,0.5858751611771378,0.6422430532491099,0.5311671273207857,0.6887221865179951
std_East,0.1610742735423923,0.1869884926298919,0.21445861831672955,0.16083082727468626,0.15766354437762264
std_North,0.19865342044608372,0.18138193134343164,0.18409049766581256,0.26660744245215534,0.19077067016228325
std_Up,0.45684123117583253,0.42347732740097527,0.42964873138910076,0.3590009599870324,0.4693496454393647
