,DEKF,UKF,EKF,AEKF,WLS
East,0.21446272734824237,0.26033527973293674,0.2527476362717771,0.22866881313416465,0.2638685542833909
North,0.26242278509903855,0.23129711198130176,0.3060159695368972,0.2621989240003962,0.30605228540322854
Up,0.6912087533748186,0.5896213774370452,0.5977208049286912,0.5465315773047412,0.7721772710430755
std_East,0.1532095309919243,0.19116753437488732,0.18579269137101032,0.18348134001155667,0.19497785808944504
std_North,0.202985775872805,0.20408867182870502,0.20432893343679395,0.24050888525613162,0.23143921856245991
std_Up,0.5023888189845906,0.4144582340281187,0.43138869506960925,0.4798803087785861,0.5368898818937
